source,partition_key,files,records,bytes,content_sha256
simulated_orders,ingestion_date=2026-08-25/wh=bcn1,1,58942,46283120,c6cac35eb96b2e69bb479ff89d456840dc7e1cba7a76cbe22371749c00aa9ad3
simulated_orders,ingestion_date=2026-08-25/wh=mad1,1,64985,51027385,c959bf200331eed2c445915e8dd99195c97c2593f384b6073a7757f2e25ad9c8
simulated_orders,ingestion_date=2026-08-25/wh=svq1,1,15362,11941508,26cc85dc49097a4ab95e89dc2a19330e1b8df545c66920970fa609519a023d1f
simulated_orders,ingestion_date=2026-08-25/wh=vlc1,1,20093,15709071,402bdd678d36069bbba3c2266050f4511075b092fc044da5b686b924451159c4
simulated_orders,ingestion_date=2026-08-26/wh=bcn1,1,58920,46403951,d94a27ebc7eeee3e440490c909808f97567059ed3f14934faec2aa558ce5eb58
simulated_orders,ingestion_date=2026-08-26/wh=mad1,1,64868,50985118,92eee756ea73af8a49507e5d62ff6bfcd0b66405398f6b84d11dffce0fe01e2f
simulated_orders,ingestion_date=2026-08-26/wh=svq1,1,15350,12093038,c0be97f8e32a9a7528ef8b3083bcca634d90d4b5daa5a19e24399515fe61017a
simulated_orders,ingestion_date=2026-08-26/wh=vlc1,1,20291,15972130,8b91ec87aeae39e7e8078d87ed9c92def6637a4166d7fe0cf36d185c6ee470d0
simulated_orders,ingestion_date=2026-08-27/wh=bcn1,1,59090,46232832,0f5fd47455e4cf923e8a9d402a9ceba6ea23820bdee46164e479c54f3af9a687
simulated_orders,ingestion_date=2026-08-27/wh=mad1,1,64793,50919909,2d058af0457888f70c3894e88e79bdc6fa238d38620fb0255c1e4f47af531051
simulated_orders,ingestion_date=2026-08-27/wh=svq1,1,15285,11896370,7a4f20891721861f0c842524f03c581aae1c49e3fdbac3ea5e42e703b42c1379
simulated_orders,ingestion_date=2026-08-27/wh=vlc1,1,20260,15921635,6d2b885e10fb267f5525664ed391f59052c26d93d87d4ac2720bf020b9a2013e
